series,sample_index,log10_molar,plotted_value,pdf_x_pt,pdf_y_pt,status
ADR,178,-6.508669836517342,78.89582606219298,149.7550048828125,233.95904541015625,curve_path_traced
ADR,179,-6.502730423554841,78.89582606219298,149.81100463867188,233.95904541015625,curve_path_traced
ADR,180,-6.4911704162548,78.99813737803889,149.9199981689453,233.90203857421875,curve_path_traced
ADR,181,-6.479291590329796,79.19914515595883,150.03199768066406,233.7900390625,curve_path_traced
ADR,182,-6.467412764404792,79.19914515595883,150.1439971923828,233.7900390625,curve_path_traced
ADR,183,-6.455533938479789,79.40015293387879,150.25599670410156,233.67803955078125,curve_path_traced
ADR,184,-6.443973931179748,79.40015293387879,150.364990234375,233.67803955078125,curve_path_traced
ADR,185,-6.438034518217246,79.50065682283876,150.42098999023438,233.62203979492188,curve_path_traced
ADR,186,-6.431988292923538,79.59579320165264,150.47799682617188,233.56903076171875,curve_path_traced
ADR,187,-6.420109466998534,79.59579320165264,150.58999633789062,233.56903076171875,curve_path_traced
ADR,188,-6.414170054036033,79.69629709061262,150.64599609375,233.51303100585938,curve_path_traced
ADR,189,-6.402291228111029,79.7968009795726,150.75799560546875,233.45703125,curve_path_traced
ADR,190,-6.396669015404836,79.7968009795726,150.81100463867188,233.45703125,curve_path_traced
ADR,191,-6.390729602442334,79.89908491016264,150.86700439453125,233.40003967285156,curve_path_traced
ADR,192,-6.37885077651733,79.99780875749254,150.97900390625,233.34503173828125,curve_path_traced
ADR,193,-6.372806169592277,79.99780875749254,151.03599548339844,233.34503173828125,curve_path_traced
ADR,194,-6.366971950592326,80.09831264645251,151.09100341796875,233.28903198242188,curve_path_traced
ADR,195,-6.354987930704771,80.09831264645251,151.20399475097656,233.28903198242188,curve_path_traced
ADR,196,-6.34904851774227,80.20059657704257,151.25999450683594,233.23204040527344,curve_path_traced
ADR,197,-6.3434263050360755,80.20059657704257,151.31300354003906,233.23204040527344,curve_path_traced
ADR,198,-6.331547479111072,80.30110046600255,151.4250030517578,233.17604064941406,curve_path_traced
ADR,199,-6.32560806614857,80.30110046600255,151.4810028076172,233.17604064941406,curve_path_traced
ADR,200,-6.3195634592235175,80.40160435496252,151.53799438476562,233.1200408935547,curve_path_traced
ADR,201,-6.307789827261065,80.4967407337764,151.6490020751953,233.06703186035156,curve_path_traced
ADR,202,-6.301745220336012,80.4967407337764,151.70599365234375,233.06703186035156,curve_path_traced
ADR,203,-6.296229819961024,80.59724462273638,151.75799560546875,233.0110321044922,curve_path_traced
ADR,204,-6.278304768742313,80.59724462273638,151.927001953125,233.0110321044922,curve_path_traced
ADR,205,-6.266425942817309,80.69774851169635,152.03900146484375,232.9550323486328,curve_path_traced
ADR,206,-6.260486529854807,80.69774851169635,152.09500122070312,232.9550323486328,curve_path_traced
ADR,207,-6.254547116892306,80.79825240065632,152.1510009765625,232.89903259277344,curve_path_traced
ADR,208,-6.242987109592264,80.79825240065632,152.25999450683594,232.89903259277344,curve_path_traced
ADR,209,-6.154107921448494,81.2971843769402,153.09799194335938,232.62103271484375,curve_path_traced
ADR,210,-6.148380514779749,81.2971843769402,153.15199279785156,232.62103271484375,curve_path_traced
